"STATION","NAME","DATE","HLY-CLDH-NORMAL","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-HTDH-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T01:00:00","0.0","6.1","41.0","23.5","34.5","30.5","21.9","46.0","34.5","26.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T02:00:00","0.0","5.0","39.9","23.4","34.2","30.8","21.0","46.0","34.2","25.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T03:00:00","0.0","5.0","39.9","23.3","33.9","31.1","21.0","46.0","33.9","25.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T04:00:00","0.0","6.1","39.9","23.3","33.6","31.4","21.0","45.0","33.6","25.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T05:00:00","0.0","6.1","39.9","23.3","33.4","31.6","21.0","45.0","33.4","25.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T06:00:00","0.0","6.1","39.9","23.2","33.3","31.7","21.0","45.0","33.3","24.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T07:00:00","0.0","6.1","39.9","23.2","33.3","31.7","21.0","45.0","33.3","24.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T08:00:00","0.0","6.1","41.0","23.2","33.4","31.6","21.0","45.0","33.4","24.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T09:00:00","0.0","6.1","41.0","23.3","34.1","30.9","21.0","46.0","34.1","25.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T10:00:00","-777.7","7.0","41.0","23.4","34.9","30.1","21.9","46.0","34.9","26.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T11:00:00","-777.7","7.0","42.1","23.6","36.0","29.0","23.0","46.9","36.0","27.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T12:00:00","-777.7","8.1","42.1","23.6","37.0","28.1","24.1","48.0","37.0","29.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T13:00:00","-777.7","8.1","41.0","23.8","37.8","27.2","26.1","48.9","37.8","30.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T14:00:00","-777.7","7.0","41.0","23.8","38.4","26.6","27.0","50.0","38.4","30.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T15:00:00","-777.7","7.0","41.0","23.8","38.6","26.4","26.1","51.1","38.6","31.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T16:00:00","-777.7","7.0","41.0","23.8","38.3","26.7","26.1","50.0","38.3","30.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T17:00:00","-777.7","8.1","41.0","23.8","37.6","27.4","26.1","48.9","37.6","29.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T18:00:00","-777.7","8.1","39.9","23.7","37.1","27.9","25.0","48.0","37.1","29.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T19:00:00","-777.7","7.0","39.9","23.6","36.8","28.2","25.0","48.0","36.8","28.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T20:00:00","-777.7","6.1","39.9","23.5","36.3","28.7","24.1","48.0","36.3","28.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T21:00:00","0.0","6.1","39.9","23.4","35.9","29.1","23.0","48.0","35.9","27.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T22:00:00","0.0","7.0","39.9","23.4","35.4","29.6","23.0","46.9","35.4","27.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T23:00:00","0.0","6.1","39.9","23.4","35.0","30.0","21.9","46.9","35.0","26.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T00:00:00","0.0","5.0","39.0","22.3","33.7","31.3","21.0","44.1","33.7","25.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T01:00:00","0.0","6.1","39.0","23.3","34.3","30.7","21.9","46.0","34.3","25.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T02:00:00","0.0","5.0","39.0","23.2","34.0","31.0","21.0","45.0","34.0","25.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T03:00:00","0.0","5.0","39.9","23.1","33.7","31.3","21.0","45.0","33.7","25.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T04:00:00","0.0","6.1","39.9","23.2","33.5","31.5","21.0","45.0","33.5","25.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T05:00:00","0.0","6.1","39.9","23.1","33.3","31.7","19.9","45.0","33.3","24.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T06:00:00","0.0","6.1","39.9","23.0","33.1","31.9","19.9","45.0","33.1","24.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T07:00:00","0.0","6.1","39.9","23.1","33.1","31.9","19.9","45.0","33.1","24.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T08:00:00","0.0","6.1","39.9","23.0","33.2","31.8","21.0","45.0","33.2","24.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T09:00:00","0.0","6.1","41.0","23.1","33.9","31.1","21.0","46.0","33.9","25.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T10:00:00","-777.7","7.0","39.9","23.2","34.8","30.2","21.9","46.0","34.8","26.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T11:00:00","-777.7","7.0","41.0","23.4","35.9","29.1","23.0","46.9","35.9","27.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T12:00:00","-777.7","7.0","42.1","23.5","36.9","28.2","24.1","48.0","36.9","28.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T13:00:00","-777.7","7.0","41.0","23.7","37.7","27.3","25.0","48.9","37.7","29.9"
